# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    1.942747748    0.925161541    0.920911901    3.909684558
    1.952756757    0.856337282    0.851225621    3.499411253
    1.962765766    0.787012730    0.781998895    3.096151104
    1.972774775    0.727346500    0.722954781    2.759165049
    1.982783784    0.681835595    0.678210808    2.511060678
    1.992792793    0.651388822    0.648479182    2.354268980
    2.002801802    0.635449053    0.633136778    2.284135630
    2.012810811    0.632993052    0.631156238    2.294659945
    2.022819820    0.642433017    0.640966709    2.378150779
    2.032828829    0.660619541    0.659438600    2.520021842
    2.042837838    0.681550680    0.680586725    2.691371119
    2.052846847    0.696629975    0.695829015    2.848272302
    2.062855856    0.698527258    0.697850147    2.949082465
    2.072864865    0.686292966    0.685714801    2.979405189
    2.082873874    0.665334769    0.664839357    2.953515485
    2.092882883    0.642068338    0.641641295    2.895378228
    2.102891892    0.620021527    0.619647320    2.830290415
    2.112900901    0.600523876    0.600187380    2.783476792
    2.122909910    0.585013547    0.584702970    2.769665994
    2.132918919    0.575596949    0.575305070    2.784762405
    2.142927928    0.574211044    0.573934345    2.814651744
    2.152936937    0.582186161    0.581922813    2.855076490
    2.162945946    0.600491876    0.600239793    2.918890954
    2.172954955    0.630102609    0.629858602    3.021714977
    2.182963964    0.672169635    0.671929663    3.166683234
    2.192972973    0.727947312    0.727707216    3.346666252
    2.202981982    0.798439556    0.798195850    3.558397015
    2.212990991    0.883899181    0.883649340    3.810325908
    2.223000000    0.983895822    0.983636956    4.120477443
    2.233009009    1.098174655    1.097900641    4.511053086
    2.243018018    1.225753131    1.225453035    4.991751121
    2.253027027    1.359871953    1.359531206    5.529181231
    2.263036036    1.483902156    1.483504064    6.027159230
    2.273045045    1.578051042    1.577577435    6.352657463
    2.283054054    1.634898207    1.634330629    6.404345562
    2.293063063    1.664331557    1.663654162    6.160226399
    2.303072072    1.680456526    1.679662807    5.674248343
    2.313081081    1.687827027    1.686932571    5.052227390
    2.323090090    1.679618706    1.678672018    4.410263515
    2.333099099    1.644689493    1.643761780    3.828300830
    2.343108108    1.573966632    1.573120293    3.335591643
    2.353117117    1.464600550    1.463867075    2.928726152
    2.363126126    1.325801212    1.325184256    2.596217141
    2.373135135    1.177612605    1.177101069    2.330515179
    2.383144144    1.039739294    1.039316975    2.127285531
    2.393153153    0.923385259    0.923035820    1.982383952
    2.403162162    0.831586908    0.831296069    1.891624804
    2.413171171    0.763002502    0.762758677    1.852030318
    2.423180180    0.714955906    0.714750074    1.862905384
