# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    1.662495495    5.345398589    5.345382335    3.564532721
    1.672504505    5.329829073    5.329812947    3.559490128
    1.682513514    5.314359155    5.314343155    3.554449622
    1.692522523    5.298987745    5.298971869    3.549411349
    1.702531532    5.283713773    5.283698019    3.544375454
    1.712540541    5.268536187    5.268520553    3.539342080
    1.722549550    5.253453952    5.253438436    3.534311366
    1.732558559    5.238466053    5.238450654    3.529283449
    1.742567568    5.223571490    5.223556206    3.524258464
    1.752576577    5.208769281    5.208754110    3.519236545
    1.762585586    5.194058460    5.194043400    3.514217821
    1.772594595    5.179438076    5.179423126    3.509202421
    1.782603604    5.164907195    5.164892353    3.504190470
    1.792612613    5.150464897    5.150450161    3.499182094
    1.802621622    5.136110276    5.136095646    3.494177413
    1.812630631    5.121842443    5.121827916    3.489176547
    1.822639640    5.107660519    5.107646094    3.484179613
    1.832648649    5.093563642    5.093549318    3.479186728
    1.842657658    5.079550962    5.079536737    3.474198004
    1.852666667    5.065621643    5.065607515    3.469213552
    1.862675676    5.051774859    5.051760828    3.464233483
    1.872684685    5.038009800    5.037995864    3.459257904
    1.882693694    5.024325665    5.024311823    3.454286920
    1.892702703    5.010721667    5.010707918    3.449320635
    1.902711712    4.997197029    4.997183372    3.444359151
    1.912720721    4.983750988    4.983737420    3.439402568
    1.922729730    4.970382788    4.970369310    3.434450983
    1.932738739    4.957091688    4.957078297    3.429504494
    1.942747748    4.943876954    4.943863650    3.424563195
    1.952756757    4.930737865    4.930724646    3.419627179
    1.962765766    4.917673708    4.917660575    3.414696537
    1.972774775    4.904683784    4.904670733    3.409771359
    1.982783784    4.891767398    4.891754430    3.404851732
    1.992792793    4.878923869    4.878910982    3.399937742
    2.002801802    4.866152523    4.866139716    3.395029474
    2.012810811    4.853452697    4.853439970    3.390127012
    2.022819820    4.840823735    4.840811086    3.385230435
    2.032828829    4.828264992    4.828252421    3.380339825
    2.042837838    4.815775830    4.815763335    3.375455260
    2.052846847    4.803355620    4.803343200    3.370576816
    2.062855856    4.791003741    4.790991396    3.365704568
    2.072864865    4.778719582    4.778707310    3.360838591
    2.082873874    4.766502536    4.766490337    3.355978957
    2.092882883    4.754352008    4.754339882    3.351125736
    2.102891892    4.742267409    4.742255354    3.346279000
    2.112900901    4.730248158    4.730236173    3.341438815
    2.122909910    4.718293680    4.718281764    3.336605248
    2.132918919    4.706403410    4.706391562    3.331778366
    2.142927928    4.694576787    4.694565007    3.326958231
    2.152936937    4.682813259    4.682801547    3.322144908
    2.162945946    4.671112282    4.671100636    3.317338458
    2.172954955    4.659473316    4.659461736    3.312538941
    2.182963964    4.647895830    4.647884314    3.307746415
    2.192972973    4.636379298    4.636367847    3.302960940
    2.202981982    4.624923201    4.624911814    3.298182572
    2.212990991    4.613527028    4.613515703    3.293411366
    2.223000000    4.602190271    4.602179009    3.288647376
    2.233009009    4.590912432    4.590901230    3.283890655
    2.243018018    4.579693015    4.579681874    3.279141256
    2.253027027    4.568531533    4.568520452    3.274399230
    2.263036036    4.557427504    4.557416482    3.269664625
    2.273045045    4.546380451    4.546369488    3.264937492
    2.283054054    4.535389903    4.535378999    3.260217877
    2.293063063    4.524455396    4.524444549    3.255505826
    2.303072072    4.513576469    4.513565679    3.250801386
    2.313081081    4.502752669    4.502741936    3.246104601
    2.323090090    4.491983547    4.491972869    3.241415514
    2.333099099    4.481268658    4.481258035    3.236734168
    2.343108108    4.470607564    4.470596996    3.232060604
    2.353117117    4.459999832    4.459989318    3.227394862
    2.363126126    4.449445033    4.449434572    3.222736982
    2.373135135    4.438942744    4.438932336    3.218087004
    2.383144144    4.428492546    4.428482191    3.213444963
    2.393153153    4.418094025    4.418083722    3.208810898
    2.403162162    4.407746772    4.407736520    3.204184844
    2.413171171    4.397450383    4.397440182    3.199566835
    2.423180180    4.387204457    4.387194306    3.194956907
    2.433189189    4.377008599    4.376998498    3.190355092
