# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    1.362225225    0.780925489    0.780974776    0.080460634
    1.372234234    0.843727076    0.843783759    0.090430729
    1.382243243    0.917589758    0.917655132    0.099121542
    1.392252252    1.004447784    1.004523754    0.104114993
    1.402261261    1.107218363    1.107308021    0.103739722
    1.412270270    1.230417392    1.230525331    0.098420000
    1.422279279    1.380421197    1.380553420    0.090308509
    1.432288288    1.565561986    1.565725909    0.081696060
    1.442297297    1.796514709    1.796719614    0.073988623
    1.452306306    2.087000156    2.087257908    0.067699477
    1.462315315    2.454445557    2.454771061    0.062830448
    1.472324324    2.919880345    2.920290924    0.059185094
    1.482333333    3.505405141    3.505917019    0.056530497
    1.492342342    4.225673898    4.226292204    0.054659597
    1.502351351    5.067600357    5.068297983    0.053406751
    1.512360360    5.955077302    5.955764629    0.052645605
    1.522369369    6.716863984    6.717378126    0.052282038
    1.532378378    7.118218524    7.118388036    0.052246922
    1.542387387    7.001042019    7.000815730    0.052490130
    1.552396396    6.418033618    6.417526007    0.052975973
    1.562405405    5.585084029    5.584472792    0.053679879
    1.572414414    4.718543441    4.717959038    0.054586043
    1.582423423    3.943656550    3.943157339    0.055685824
    1.592432432    3.302207927    3.301804738    0.056976718
    1.602441441    2.790927092    2.790609888    0.058461777
    1.612450450    2.390114246    2.389867329    0.060149414
    1.622459459    2.077687686    2.077496058    0.062053557
    1.632468468    1.834353892    1.834205194    0.064194147
    1.642477477    1.644767153    1.644651807    0.066598024
    1.652486486    1.497224498    1.497135294    0.069300270
    1.662495495    1.382979713    1.382911299    0.072346134
    1.672504505    1.295570929    1.295519370    0.075793721
    1.682513514    1.230274706    1.230237143    0.079717711
    1.692522523    1.183697605    1.183672008    0.084214480
    1.702531532    1.153486065    1.153471053    0.089409139
    1.712540541    1.138131214    1.138125950    0.095465164
    1.722549550    1.136849107    1.136853228    0.102597403
    1.732558559    1.149521452    1.149535037    0.111089172
