# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:     6.032070257    6.031850694    4.894473291
    4.775297297   -0.578667792   -0.578034536   -0.409923969
    4.785306306   -0.540994889   -0.540401465   -0.336025365
    4.795315315   -0.455169934   -0.454613913   -0.249113582
    4.805324324   -0.338359117   -0.337838229   -0.155622587
    4.815333333   -0.206317499   -0.205829937   -0.058162378
    4.825342342   -0.071918618   -0.071462978    0.037750060
    4.835351351    0.053946720    0.054371437    0.121819166
    4.845360360    0.161580779    0.161975230    0.183514711
    4.855369369    0.243095062    0.243459832    0.217429671
    4.865378378    0.295034939    0.295371302    0.224082527
    4.875387387    0.321428011    0.321739082    0.206072633
    4.885396396    0.331793301    0.332083989    0.162835440
    4.895405405    0.332852284    0.333127548    0.088314617
    4.905414414    0.323131945    0.323395608   -0.022022326
    4.915423423    0.296502395    0.296757782   -0.158428926
    4.925432432    0.251154049    0.251405466   -0.294202204
    4.935441441    0.196556822    0.196809392   -0.399419039
    4.945450450    0.149891066    0.150148439   -0.456530930
    4.955459459    0.123594092    0.123858332   -0.464230407
    4.965468468    0.116498302    0.116772460   -0.433109994
    4.975477477    0.116366576    0.116654464   -0.380045219
    4.985486486    0.111531060    0.111832499   -0.322937623
    4.995495495    0.102055461    0.102362621   -0.276094505
    5.005504505    0.099366389    0.099667787   -0.246695660
    5.015513514    0.114273225    0.114561239   -0.233200823
    5.025522523    0.148226897    0.148498994   -0.226893986
    5.035531532    0.195330212    0.195585781   -0.216465412
    5.045540541    0.246143791    0.246383765   -0.193638374
    5.055549550    0.287628441    0.287856706   -0.157244097
    5.065558559    0.303715775    0.303938348   -0.113478732
    5.075567568    0.280545318    0.280767256   -0.072321170
    5.085576577    0.215066538    0.215288502   -0.042058327
    5.095585586    0.121431266    0.121648825   -0.024006225
    5.105594595    0.027022834    0.027230420   -0.011276915
    5.115603604   -0.042979896   -0.042784746    0.005582030
    5.125612613   -0.078382017   -0.078198712    0.031604855
    5.135621622   -0.082578964   -0.082406014    0.066154088
    5.145630631   -0.063613485   -0.063449685    0.106276504
    5.155639640   -0.028238252   -0.028082769    0.150342974
    5.165648649    0.019006827    0.019154602    0.198950018
    5.175657658    0.073771404    0.073911837    0.252700017
    5.185666667    0.129868505    0.130001679    0.310006528
    5.195675676    0.179302682    0.179428271    0.367095881
    5.205684685    0.214000522    0.214117782    0.419164636
