# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    2.543288288    1.298305153    1.286349750    3.866342399
    2.553297297    1.228718486    1.219427397    3.540486738
    2.563306306    1.173147389    1.166413513    3.194749683
    2.573315315    1.128962986    1.124482616    2.838055714
    2.583324324    1.098871758    1.096570638    2.492735416
    2.593333333    1.088697286    1.088753717    2.186141538
    2.603342342    1.102449987    1.105164635    1.935958301
    2.613351351    1.139169596    1.144827065    1.746568522
    2.623360360    1.192123964    1.200699482    1.613163402
    2.633369369    1.250423024    1.261120717    1.526004781
    2.643378378    1.303303705    1.314515817    1.473381855
    2.653387387    1.345522842    1.355785731    1.445381167
    2.663396396    1.380019989    1.389017520    1.437779252
    2.673405405    1.413278045    1.421399357    1.451069745
    2.683414414    1.446270010    1.453362808    1.483747543
    2.693423423    1.472565799    1.477569145    1.525975299
    2.703432432    1.487530118    1.489128698    1.558296075
    2.713441441    1.496572834    1.493912103    1.556711350
    2.723450450    1.512841258    1.505987907    1.505577412
    2.733459459    1.550399468    1.540452299    1.410644244
    2.743468468    1.618090757    1.606703170    1.295639972
    2.753477477    1.713217479    1.702090509    1.185443504
    2.763486486    1.818287249    1.808978706    1.095075788
    2.773495495    1.907922986    1.901452545    1.030088828
    2.783504505    1.965567782    1.961850107    0.991346938
    2.793513514    1.993001349    1.991037536    0.978481936
    2.803522523    2.001260767    1.999933810    0.990693216
    2.813531532    1.996254208    1.994665002    1.025509551
    2.823540541    1.971159182    1.968436499    1.076094085
    2.833549550    1.908743859    1.903729270    1.128383259
    2.843558559    1.796048101    1.787402916    1.162361094
    2.853567568    1.638600755    1.625892487    1.162024807
    2.863576577    1.458551187    1.443169388    1.127687693
    2.873585586    1.281758231    1.266085281    1.075596919
    2.883594595    1.126817386    1.112733570    1.025407263
    2.893603604    1.002101747    0.990451674    0.990651410
    2.903612613    0.908702577    0.899592470    0.977905973
    2.913621622    0.844376636    0.837603051    0.989856708
    2.923630631    0.805913504    0.801244286    1.028013600
    2.933639640    0.789648082    0.786971852    1.093977127
    2.943648649    0.790572080    0.789965674    1.189279294
    2.953657658    0.801028283    0.802702373    1.313621831
    2.963666667    0.811268816    0.815282610    1.461225766
    2.973675676    0.813946860    0.819804854    1.616697574
    2.983684685    0.809304741    0.815940893    1.756299175
    2.993693694    0.804534229    0.810836191    1.861033929
    3.003702703    0.808117968    0.813380868    1.932653196
    3.013711712    0.824811396    0.828709458    1.992233553
    3.023720721    0.852905090    0.855218936    2.064714712
    3.033729730    0.883614928    0.884144908    2.170469210
    3.043738739    0.904733768    0.903619088    2.325489104
    3.053747748    0.909164628    0.907224233    2.539176042
    3.063756757    0.900268391    0.898596370    2.807097202
    3.073765766    0.886239884    0.885223557    3.102005045
    3.083774775    0.870394594    0.869186159    3.368289282
    3.093783784    0.848412046    0.845513071    3.533114915
    3.103792793    0.814554649    0.809324700    3.547860122
    3.113801802    0.769910002    0.763466302    3.431431257
    3.123810811    0.723067596    0.717390117    3.259278519
    3.133819820    0.683486069    0.679923771    3.109186940
    3.143828829    0.655906055    0.654472399    3.023268018
    3.153837838    0.639280876    0.638787108    3.004031192
    3.163846847    0.628777491    0.627655867    3.029737583
    3.173855856    0.619611186    0.617103602    3.076892225
    3.183864865    0.610330977    0.606883137    3.133027301
    3.193873874    0.602289993    0.598703005    3.185431514
    3.203882883    0.596804215    0.593414017    3.206042411
